City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain(inches),Snow(inches),Date
0,Bethel,41.37,-73.41,73.4,69,1,5.82,US,clear sky,0.0,0,2020-06-21 02:12:20
1,Havre-Saint-Pierre,50.23,-63.6,51.8,87,1,3.36,CA,clear sky,0.0,0,2020-06-21 02:12:20
2,Kapaa,22.08,-159.32,84.2,66,40,11.41,US,scattered clouds,0.0,0,2020-06-21 02:12:20
3,Alofi,-19.06,-169.92,78.8,78,100,14.99,NU,overcast clouds,0.0,0,2020-06-21 02:10:38
4,Puerto Ayora,-0.74,-90.35,69.01,96,82,9.19,EC,broken clouds,0.0,0,2020-06-21 02:07:28
5,Sangar,63.92,127.47,73.29,56,37,8.23,RU,light rain,0.25,0,2020-06-21 02:11:36
6,Opuwo,-18.06,13.84,48.9,57,0,5.41,NA,clear sky,0.0,0,2020-06-21 02:12:21
7,Husavik,66.04,-17.34,53.6,62,0,21.92,IS,clear sky,0.0,0,2020-06-21 02:12:03
8,Busselton,-33.65,115.33,57.99,49,0,5.39,AU,clear sky,0.0,0,2020-06-21 02:12:22
9,Aykhal,66.0,111.5,73.4,40,27,6.71,RU,scattered clouds,0.0,0,2020-06-21 02:11:45
10,Ushuaia,-54.8,-68.3,37.4,88,75,8.05,AR,broken clouds,0.0,0,2020-06-21 02:10:35
11,Vaini,-21.2,-175.2,78.8,83,75,10.29,TO,broken clouds,0.0,0,2020-06-21 02:12:23
12,Ahipara,-35.17,173.17,60.55,78,69,9.42,NZ,broken clouds,0.0,0,2020-06-21 02:12:10
13,Paamiut,61.99,-49.67,39.72,87,89,20.31,GL,overcast clouds,0.0,0,2020-06-21 02:12:08
14,Lapua,62.97,23.01,59.0,87,1,4.27,FI,clear sky,0.0,0,2020-06-21 02:12:23
15,Rikitea,-23.12,-134.97,74.86,86,66,17.0,PF,broken clouds,0.0,0,2020-06-21 02:12:24
16,Roald,62.58,6.13,62.01,93,100,4.7,NO,overcast clouds,0.0,0,2020-06-21 02:12:24
17,Albany,42.6,-73.97,78.01,88,12,2.57,US,few clouds,0.0,0,2020-06-21 02:09:55
18,Grindavik,63.84,-22.43,51.8,81,75,6.93,IS,broken clouds,0.0,0,2020-06-21 02:12:25
19,Hermanus,-34.42,19.23,55.99,94,15,5.99,ZA,few clouds,0.0,0,2020-06-21 02:12:25
20,Tecoanapa,16.52,-98.75,82.0,82,100,3.65,MX,moderate rain,1.94,0,2020-06-21 02:12:25
21,Hearst,49.68,-83.67,62.15,94,100,3.18,CA,moderate rain,1.88,0,2020-06-21 02:12:25
22,Mar Del Plata,-38.0,-57.56,52.0,93,100,9.13,AR,overcast clouds,0.0,0,2020-06-21 02:12:26
23,Guerrero Negro,27.98,-114.06,64.92,77,0,19.91,MX,clear sky,0.0,0,2020-06-21 02:12:26
24,Atuona,-9.8,-139.03,80.24,66,0,11.83,PF,clear sky,0.0,0,2020-06-21 02:09:55
25,Upernavik,72.79,-56.15,39.76,73,0,8.52,GL,clear sky,0.0,0,2020-06-21 02:08:24
26,Dulce Grande,23.0,-102.17,77.65,36,40,9.78,MX,scattered clouds,0.0,0,2020-06-21 02:12:26
27,Touros,-5.2,-35.46,71.6,100,0,2.24,BR,clear sky,0.0,0,2020-06-21 02:09:55
28,Dalvik,65.97,-18.53,53.6,62,0,21.92,IS,clear sky,0.0,0,2020-06-21 02:12:27
29,Vangaindrano,-23.35,47.6,65.41,91,100,3.53,MG,light rain,0.34,0,2020-06-21 02:12:27
30,Saint-Philippe,-21.36,55.77,71.6,72,90,8.05,RE,overcast clouds,0.0,0,2020-06-21 02:12:28
31,Luderitz,-26.65,15.16,59.0,58,0,5.82,NA,clear sky,0.0,0,2020-06-21 02:12:28
32,Allende,25.28,-100.02,89.6,52,40,8.05,MX,scattered clouds,0.0,0,2020-06-21 02:12:28
33,Bengkulu,-3.8,102.27,79.41,79,100,1.97,ID,overcast clouds,0.0,0,2020-06-21 02:11:13
34,New Norfolk,-42.78,147.06,48.99,92,100,1.28,AU,overcast clouds,0.0,0,2020-06-21 02:12:28
35,Qaanaaq,77.48,-69.36,38.46,73,40,7.63,GL,scattered clouds,0.0,0,2020-06-21 02:12:29
36,Naze,28.37,129.48,78.8,94,75,19.46,JP,shower rain,0.0,0,2020-06-21 02:12:29
37,Nurota,40.56,65.69,68.0,42,0,11.41,UZ,clear sky,0.0,0,2020-06-21 02:12:29
38,Souillac,-20.52,57.52,68.0,100,75,12.75,MU,light intensity shower rain,0.0,0,2020-06-21 02:12:29
39,Port Hardy,50.7,-127.42,55.4,87,90,5.82,CA,overcast clouds,0.0,0,2020-06-21 02:12:30
40,Port Elizabeth,-33.92,25.57,60.8,87,0,8.05,ZA,clear sky,0.0,0,2020-06-21 02:13:45
41,Saskylakh,71.92,114.08,78.51,39,100,6.26,RU,overcast clouds,0.0,0,2020-06-21 02:09:51
42,Norman Wells,65.28,-126.83,64.4,88,90,14.99,CA,light intensity shower rain,0.0,0,2020-06-21 02:13:46
43,Hilo,19.73,-155.09,82.4,54,75,9.17,US,broken clouds,0.0,0,2020-06-21 02:11:53
44,Marzuq,14.4,46.47,81.25,34,9,4.21,YE,clear sky,0.0,0,2020-06-21 02:13:46
45,Lebu,-37.62,-73.65,49.62,80,0,1.79,CL,clear sky,0.0,0,2020-06-21 02:13:46
46,Sohag,26.56,31.69,77.0,36,0,5.82,EG,clear sky,0.0,0,2020-06-21 02:13:47
47,Cape Town,-33.93,18.42,60.01,87,40,11.41,ZA,scattered clouds,0.0,0,2020-06-21 02:10:35
48,Turayf,31.67,38.66,66.2,77,0,6.93,SA,clear sky,0.0,0,2020-06-21 02:13:47
49,Barrow,71.29,-156.79,37.4,74,75,11.41,US,broken clouds,0.0,0,2020-06-21 02:13:47
50,Verkhoyansk,67.54,133.38,92.91,17,0,10.16,RU,clear sky,0.0,0,2020-06-21 02:13:47
51,Thompson,55.74,-97.86,51.8,93,75,11.41,CA,broken clouds,0.0,0,2020-06-21 02:09:55
52,Ribeira Grande,38.52,-28.7,65.68,91,13,9.84,PT,few clouds,0.0,0,2020-06-21 02:13:48
53,Guymon,36.68,-101.48,80.6,44,1,9.17,US,clear sky,0.0,0,2020-06-21 02:13:49
54,Iqaluit,63.75,-68.51,42.8,75,90,1.9,CA,overcast clouds,0.0,0,2020-06-21 02:10:26
55,Talnakh,69.49,88.4,48.2,70,40,15.66,RU,scattered clouds,0.0,0,2020-06-21 02:13:49
56,Atbasar,51.8,68.33,61.74,41,0,18.39,KZ,clear sky,0.0,0,2020-06-21 02:13:50
57,Oytal,42.91,73.27,67.84,39,0,6.8,KZ,clear sky,0.0,0,2020-06-21 02:13:50
58,Byron Bay,-28.65,153.62,71.01,72,40,6.93,AU,scattered clouds,0.0,0,2020-06-21 02:13:28
59,East London,-33.02,27.91,72.5,27,0,15.12,ZA,clear sky,0.0,0,2020-06-21 02:13:51
60,Soliera,44.74,10.93,71.01,72,86,1.72,IT,overcast clouds,0.0,0,2020-06-21 02:13:51
