City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Talcahuano,-36.72,-73.12,55.4,100,90,4.7,CL,2020-06-18 17:19:44
1,Vaini,-21.2,-175.2,69.8,83,20,9.17,TO,2020-06-18 17:17:07
2,Ostrovnoy,68.05,39.51,62.38,55,92,9.13,RU,2020-06-18 17:17:50
3,Comodoro Rivadavia,-45.87,-67.5,50.0,57,100,8.05,AR,2020-06-18 17:18:12
4,Thompson,55.74,-97.86,35.6,93,90,18.34,CA,2020-06-18 17:13:50
5,Bajil,15.06,43.29,91.33,51,42,6.06,YE,2020-06-18 17:19:45
6,Hermanus,-34.42,19.23,55.0,71,0,1.01,ZA,2020-06-18 17:17:07
7,Rikitea,-23.12,-134.97,76.1,84,92,18.25,PF,2020-06-18 17:19:46
8,Bezhanitsy,56.98,29.89,77.31,68,0,3.36,RU,2020-06-18 17:19:46
9,Jieshi,22.81,115.83,82.74,85,54,9.66,CN,2020-06-18 17:19:47
10,San Cristobal,7.77,-72.22,84.2,70,40,4.7,VE,2020-06-18 17:17:30
11,Didi Lilo,41.74,44.96,77.0,50,75,17.22,GE,2020-06-18 17:19:47
12,Ati,13.22,18.34,100.17,20,23,5.37,TD,2020-06-18 17:19:47
13,Ancud,-41.87,-73.82,55.99,87,20,9.17,CL,2020-06-18 17:17:46
14,Mandalgovi,45.76,106.27,70.09,32,88,14.45,MN,2020-06-18 17:19:20
15,Chokurdakh,70.63,147.92,72.91,44,40,6.53,RU,2020-06-18 17:18:41
16,Merauke,-8.47,140.33,78.26,82,97,17.34,ID,2020-06-18 17:17:21
17,Chuy,-33.7,-53.46,67.5,68,48,14.2,UY,2020-06-18 17:17:34
18,Port Alfred,-33.59,26.89,57.99,74,0,5.99,ZA,2020-06-18 17:13:31
19,Hithadhoo,-0.6,73.08,84.58,77,95,11.41,MV,2020-06-18 17:17:13
20,Tiksi,71.69,128.87,53.08,72,99,2.8,RU,2020-06-18 17:17:17
21,Tura,25.52,90.22,74.7,98,100,4.61,IN,2020-06-18 17:17:39
22,Saint-Philippe,-21.36,55.77,69.8,73,75,18.34,RE,2020-06-18 17:18:07
23,Petropavlovsk-Kamchatskiy,53.05,158.65,41.0,100,90,4.47,RU,2020-06-18 17:19:50
24,Yellowknife,62.46,-114.35,62.01,71,20,14.99,CA,2020-06-18 17:16:06
25,Kindu,-2.95,25.95,75.85,54,59,1.41,CD,2020-06-18 17:19:50
26,Ushuaia,-54.8,-68.3,33.8,80,6,7.74,AR,2020-06-18 17:19:51
27,Hobart,-42.88,147.33,41.0,86,100,8.05,AU,2020-06-18 17:11:59
28,Martapura,-3.42,114.85,78.8,100,75,1.12,ID,2020-06-18 17:19:51
29,Cabo San Lucas,22.89,-109.91,93.2,58,40,3.36,MX,2020-06-18 17:19:30
30,Nelson Bay,-32.72,152.15,51.01,100,90,4.7,AU,2020-06-18 17:19:52
31,Kodiak,57.79,-152.41,50.0,87,75,13.87,US,2020-06-18 17:17:14
32,Peniche,39.36,-9.38,71.01,66,0,15.01,PT,2020-06-18 17:13:57
33,Tucuman,-26.82,-65.22,69.8,35,0,11.41,AR,2020-06-18 17:19:52
34,Cape Town,-33.93,18.42,66.0,48,0,6.93,ZA,2020-06-18 17:13:25
35,Katete,-0.78,29.75,66.02,76,68,3.38,UG,2020-06-18 17:19:53
36,Luebo,-5.35,21.42,73.99,33,30,0.89,CD,2020-06-18 17:19:53
37,Padang,-0.95,100.35,78.84,78,100,4.43,ID,2020-06-18 17:17:36
38,Bayonet Point,28.33,-82.68,89.01,60,0,1.99,US,2020-06-18 17:15:33
39,Avarua,-21.21,-159.78,69.8,77,35,6.93,CK,2020-06-18 17:16:48
40,Sao Filipe,14.9,-24.5,82.89,57,0,12.48,CV,2020-06-18 17:18:01
41,Hilo,19.73,-155.09,72.0,83,90,5.82,US,2020-06-18 17:17:59
42,Marau,-28.45,-52.2,75.2,47,40,24.16,BR,2020-06-18 17:19:54
43,Barrow,71.29,-156.79,41.0,75,1,8.05,US,2020-06-18 17:14:34
44,Hamilton,39.18,-84.53,79.0,57,75,5.82,US,2020-06-18 17:18:46
45,Arraial Do Cabo,-22.97,-42.03,78.8,54,20,17.22,BR,2020-06-18 17:17:40
46,Saratov,51.57,46.03,67.95,85,94,13.18,RU,2020-06-18 17:16:58
47,Busselton,-33.65,115.33,44.01,96,12,4.81,AU,2020-06-18 17:17:04
48,Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,2020-06-18 17:16:58
49,Svetlyy,54.67,20.13,78.8,65,40,4.47,RU,2020-06-18 17:19:56
50,Bethel,41.37,-73.41,79.0,69,40,10.29,US,2020-06-18 17:18:51
51,Punta Arenas,-53.15,-70.92,39.2,86,90,14.99,CL,2020-06-18 17:19:56
52,Kapaa,22.08,-159.32,77.0,83,1,11.41,US,2020-06-18 17:14:10
53,Castro,-24.79,-50.01,67.82,67,92,12.28,BR,2020-06-18 17:17:56
54,Fukue,32.69,128.84,75.18,92,97,19.84,JP,2020-06-18 17:19:57
55,Carnarvon,-24.87,113.63,60.8,82,0,13.87,AU,2020-06-18 17:17:12
56,Jacareacanga,-6.22,-57.75,92.01,42,81,4.85,BR,2020-06-18 17:19:05
57,Albany,42.6,-73.97,84.0,55,5,5.73,US,2020-06-18 17:15:06
58,Aksay,47.26,39.87,77.0,53,20,6.71,RU,2020-06-18 17:18:15
59,Bredasdorp,-34.53,20.04,53.6,87,0,4.47,ZA,2020-06-18 17:17:13
60,Polyarnyy,69.2,33.45,51.8,57,96,6.71,RU,2020-06-18 17:19:58
61,Shamgarh,24.18,75.63,89.58,45,100,19.04,IN,2020-06-18 17:16:31
62,Port Lincoln,-34.73,135.87,58.68,48,14,23.13,AU,2020-06-18 17:17:42
63,Lebu,-37.62,-73.65,53.33,91,100,15.61,CL,2020-06-18 17:17:43
64,Torbay,47.67,-52.73,70.0,63,90,16.11,CA,2020-06-18 17:17:14
65,Asau,46.43,26.4,64.0,90,85,1.28,RO,2020-06-18 17:19:59
66,Puerto Princesa,9.74,118.74,81.91,75,61,3.49,PH,2020-06-18 17:20:00
67,Richards Bay,-28.78,32.04,58.48,81,99,2.55,ZA,2020-06-18 17:20:00
68,Nantucket,41.28,-70.1,72.0,88,90,9.17,US,2020-06-18 17:19:19
69,Fortuna,40.6,-124.16,64.99,82,20,4.7,US,2020-06-18 17:17:09
70,Saint Anthony,45.02,-93.22,79.0,57,1,8.05,US,2020-06-18 17:18:36
71,Esperance,-33.87,121.9,48.2,87,42,14.99,AU,2020-06-18 17:17:44
72,Tarko-Sale,64.92,77.78,43.0,67,98,12.73,RU,2020-06-18 17:20:01
73,Mar Del Plata,-38.0,-57.56,57.99,87,90,17.22,AR,2020-06-18 17:15:39
74,Cascais,38.7,-9.42,68.0,56,20,14.99,PT,2020-06-18 17:20:01
75,Butaritari,3.07,172.79,83.12,64,98,7.25,KI,2020-06-18 17:17:14
76,Marawi,8.0,124.29,73.99,96,99,1.99,PH,2020-06-18 17:20:02
77,Eureka,40.8,-124.16,66.99,100,0,1.01,US,2020-06-18 17:20:02
78,Atuona,-9.8,-139.03,79.3,78,39,11.79,PF,2020-06-18 17:17:10
79,Moree,-29.47,149.85,53.6,76,6,10.29,AU,2020-06-18 17:20:03
80,Port Elizabeth,-33.92,25.57,55.4,87,0,2.24,ZA,2020-06-18 17:17:53
81,Vanimo,-2.67,141.3,78.76,84,27,3.76,PG,2020-06-18 17:18:53
82,Morant Bay,17.88,-76.41,87.8,66,20,25.28,JM,2020-06-18 17:20:03
83,Santa Rosalia,27.32,-112.28,89.46,22,0,3.49,MX,2020-06-18 17:18:47
84,College,64.86,-147.8,64.4,45,75,3.36,US,2020-06-18 17:19:25
85,Komsomolskiy,40.43,71.72,77.0,31,82,4.7,UZ,2020-06-18 17:18:37
86,Dikson,73.51,80.55,33.08,92,51,14.88,RU,2020-06-18 17:17:10
87,Karasburg,-28.02,18.75,61.09,32,0,8.9,NA,2020-06-18 17:20:04
88,Tasiilaq,65.61,-37.64,42.8,75,100,44.96,GL,2020-06-18 17:17:26
89,East London,-33.02,27.91,65.75,61,0,13.65,ZA,2020-06-18 17:17:31
90,New Iberia,30.0,-91.82,86.0,62,90,5.82,US,2020-06-18 17:19:38
91,Sulangan,11.14,123.72,81.61,80,100,20.83,PH,2020-06-18 17:20:05
92,Pangnirtung,66.15,-65.71,41.0,75,75,19.46,CA,2020-06-18 17:17:26
93,Elmadag,39.92,33.23,66.2,67,40,13.87,TR,2020-06-18 17:20:06
94,Poum,-20.23,164.02,74.64,76,100,17.87,NC,2020-06-18 17:20:06
95,Hovd,48.01,91.64,64.89,27,40,6.46,MN,2020-06-18 17:14:04
96,Rafaela,-31.25,-61.49,66.99,51,0,3.0,AR,2020-06-18 17:16:13
97,Talnakh,69.49,88.4,48.2,49,95,8.95,RU,2020-06-18 17:20:07
98,Acapulco,16.86,-99.89,87.8,58,75,8.05,MX,2020-06-18 17:18:15
99,Trairi,-3.28,-39.27,84.67,63,0,12.64,BR,2020-06-18 17:17:22
100,Saint George,37.1,-113.58,79.0,14,1,8.05,US,2020-06-18 17:17:31
101,Chumikan,54.72,135.31,37.89,95,100,4.79,RU,2020-06-18 17:20:08
102,Souillac,-20.52,57.52,71.6,68,75,12.75,MU,2020-06-18 17:13:43
103,Halden,59.12,11.39,84.0,39,45,8.05,NO,2020-06-18 17:20:08
104,Jaru,-10.44,-62.47,85.6,62,32,3.24,BR,2020-06-18 17:20:08
105,Dubbo,-32.25,148.62,50.0,87,0,10.29,AU,2020-06-18 17:19:11
106,Kavieng,-2.57,150.8,82.51,74,1,3.38,PG,2020-06-18 17:19:09
107,Matagami,49.75,-77.63,86.0,33,1,13.87,CA,2020-06-18 17:20:09
108,Ponta Delgada,37.73,-25.67,64.4,82,75,13.87,PT,2020-06-18 17:19:29
109,Tuktoyaktuk,69.45,-133.04,44.6,93,90,6.93,CA,2020-06-18 17:17:19
110,Cherskiy,68.75,161.3,63.55,43,8,6.98,RU,2020-06-18 17:17:01
111,Flinders,-34.58,150.86,48.0,85,8,1.01,AU,2020-06-18 17:17:18
112,Haines Junction,60.75,-137.51,57.0,55,100,0.72,CA,2020-06-18 17:17:10
113,Klyuchi,52.27,79.17,59.32,81,99,12.12,RU,2020-06-18 17:20:11
114,Lompoc,34.64,-120.46,68.0,72,0,6.93,US,2020-06-18 17:15:53
115,Lorengau,-2.02,147.27,83.07,75,33,8.12,PG,2020-06-18 17:18:54
116,Tuatapere,-46.13,167.68,39.0,83,10,3.0,NZ,2020-06-18 17:18:05
117,Clyde River,70.47,-68.59,33.8,91,75,5.82,CA,2020-06-18 17:18:36
118,Kruisfontein,-34.0,24.73,58.77,44,0,6.33,ZA,2020-06-18 17:19:05
119,Georgetown,5.41,100.34,84.2,79,20,4.7,MY,2020-06-18 17:17:15
120,New Norfolk,-42.78,147.06,39.99,84,100,2.68,AU,2020-06-18 17:13:41
121,Vavuniya,8.75,80.5,80.06,79,100,6.89,LK,2020-06-18 17:20:12
122,Pitkyaranta,61.57,31.48,68.92,68,100,6.8,RU,2020-06-18 17:20:12
123,Tateyama,34.98,139.87,68.0,93,100,8.79,JP,2020-06-18 17:17:21
124,Tashtyp,52.79,89.9,54.36,86,59,4.41,RU,2020-06-18 17:20:13
125,Mancio Lima,-7.61,-72.9,87.8,62,20,3.36,BR,2020-06-18 17:20:13
126,Mao,39.89,4.27,73.4,64,20,9.17,ES,2020-06-18 17:20:13
127,Nioro,13.35,-15.75,104.68,23,0,2.19,GM,2020-06-18 17:20:14
128,Jamestown,42.1,-79.24,78.8,54,75,8.05,US,2020-06-18 17:17:23
129,Gambela,8.25,34.58,72.32,93,100,2.19,ET,2020-06-18 17:20:14
130,Puerto Madero,14.72,-92.42,77.0,100,90,3.36,MX,2020-06-18 17:20:15
131,Delano,35.77,-119.25,77.0,31,1,4.7,US,2020-06-18 17:16:21
132,Finschhafen,-6.6,147.87,78.96,75,41,8.03,PG,2020-06-18 17:20:15
133,Bendigo,-36.77,144.28,48.0,64,79,9.8,AU,2020-06-18 17:20:15
134,Karachi,24.91,67.08,87.8,70,40,11.41,PK,2020-06-18 17:19:31
135,Garissa,-0.45,39.64,82.0,56,60,22.5,KE,2020-06-18 17:20:16
136,Leningradskiy,69.38,178.42,43.23,64,79,1.48,RU,2020-06-18 17:18:58
137,Guerrero Negro,27.98,-114.06,69.15,60,5,13.85,MX,2020-06-18 17:13:42
138,Vardo,70.37,31.11,46.4,81,75,26.4,NO,2020-06-18 17:19:02
139,Puerto Ayora,-0.74,-90.35,80.6,57,20,19.46,EC,2020-06-18 17:17:07
140,Mahebourg,-20.41,57.7,71.6,68,75,12.75,MU,2020-06-18 17:13:39
141,Viedma,-40.81,-63.0,62.01,33,19,18.16,AR,2020-06-18 17:20:17
142,Te Anau,-45.42,167.72,32.67,94,36,1.52,NZ,2020-06-18 17:20:17
143,Klaksvik,62.23,-6.59,50.0,93,98,2.24,FO,2020-06-18 17:17:08
144,Atar,20.52,-13.05,106.95,13,0,16.17,MR,2020-06-18 17:20:18
145,Ahipara,-35.17,173.17,50.54,82,19,4.43,NZ,2020-06-18 17:20:18
146,Fare,-16.7,-151.02,80.28,78,51,3.6,PF,2020-06-18 17:20:18
